Vendor,Network / Site,VendorNetworkID,Datasource,Mediaplan,Campaign Mp Label,Campaign upper,Campaign Name
Google,Youtube,GOOGLE_YOUTUBE,Google Adwords,2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Google_Youtube_Promo Xbox_Affinity Audiences_CPM_Evening Me,MCMMIA_2021_ARG_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_PROMOXBOX_AFFINITYAUDIENCES_CPM_EVENINGME,MCMMIA_2021_ARG_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_PROMOXBOX_AFFINITYAUDIENCES_CPM_EVENINGME
Google,Youtube,GOOGLE_YOUTUBE,Google Adwords,2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Google_Youtube_Promo Xbox_Affinity Audiences_CPV_Evening Me,MCMMIA_2021_ARG_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_PROMOXBOX_AFFINITYAUDIENCES_CPV_EVENINGME,MCMMIA_2021_ARG_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_PROMOXBOX_AFFINITYAUDIENCES_CPV_EVENINGME
Traditional Display Media,Spotify - Video Take Over,TRADITIONAL DISPLAY MEDIA_SPOTIFY - VIDEO TAKE OVER,Other Channels,2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Promo Xbox_Sizmek_Evening Me_CPM-Spotify - Video Take Over,MCMMIA_2021_ARG_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_SIZMEK_EVENINGME_CPM-SPOTIFY-VIDEOTAKEOVER,MCMMIA_2021_ARG_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_SIZMEK_EVENINGME_CPM-SPOTIFY-VIDEOTAKEOVER
Traditional Display Media,Spotify - Audio Ad,TRADITIONAL DISPLAY MEDIA_SPOTIFY - AUDIO AD,Other Channels,2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Promo Xbox_Sizmek_Evening Me_CPM-Spotify - Audio Ad,MCMMIA_2021_ARG_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_SIZMEK_EVENINGME_CPM-SPOTIFY-AUDIOAD,MCMMIA_2021_ARG_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_SIZMEK_EVENINGME_CPM-SPOTIFY-AUDIOAD
Facebook,Facebook and Instagram,FACEBOOK_FACEBOOK AND INSTAGRAM,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Promo Xbox_Facebook_Facebook and Instagram_Website Clicks_CPC_Evening Me,MCMMIA_2021_ARG_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_EVENINGME,MCMMIA_2021_ARG_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_EVENINGME
Google,SEM,GOOGLE_SEM,Google Adwords,2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Google_SEM_Promo Xbox_Affinity Audience_CPC_Evening Me,MCMMIA_2021_ARG_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_SEM_PROMOXBOX_AFFINITYAUDIENCE_CPC_EVENINGME,MCMMIA_2021_ARG_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_SEM_PROMOXBOX_AFFINITYAUDIENCE_CPC_EVENINGME
Google,Youtube,GOOGLE_YOUTUBE,Google Adwords,2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia,MCMMIA_2021_COL_Kelloggs_Corporate Promotions_Seasonal_Google_Youtube_Back to School_Affinity Audiences_CPV_Breakfast for One,MCMMIA_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_GOOGLE_YOUTUBE_BACKTOSCHOOL_AFFINITYAUDIENCES_CPV_BREAKFASTFORONE,MCMMIA_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_GOOGLE_YOUTUBE_BACKTOSCHOOL_AFFINITYAUDIENCES_CPV_BREAKFASTFORONE
Facebook,Facebook and Instagram,FACEBOOK_FACEBOOK AND INSTAGRAM,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia,MCMMIA_2021_COL_Kelloggs_Corporate Promotions_Seasonal_Back to School_Facebook_Facebook and Instagram_Reach_CPM_Breakfast for One,MCMMIA_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE,MCMMIA_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_BREAKFASTFORONE
Traditional Display Media,Kidscorp,TRADITIONAL DISPLAY MEDIA_KIDSCORP,Other Channels,2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia,MCMCO_2021_COL_Kelloggs_Corporate Promotions_Seasonal_Back to School_Kidscorp_Breakfast for One_CPV-Kidscorp,MCMCO_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_KIDSCORP_BREAKFASTFORONE_CPV-KIDSCORP,MCMCO_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_KIDSCORP_BREAKFASTFORONE_CPV-KIDSCORP
Traditional Display Media,Xaxis - Standard Banners,TRADITIONAL DISPLAY MEDIA_XAXIS - STANDARD BANNERS,Sizmek Sas,2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia,MCMCO_2021_COL_Kelloggs_Corporate Promotions_Seasonal_Back to School_Xaxis - Standard Banners_Breakfast for One_CPM-Xaxis - Standard Banners,MCMCO_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_XAXIS-STANDARDBANNERS_BREAKFASTFORONE_CPM-XAXIS-STANDARDBANNERS,MCMCO_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_XAXIS-STANDARDBANNERS_BREAKFASTFORONE_CPM-XAXIS-STANDARDBANNERS
Facebook,Facebook and Instagram,FACEBOOK_FACEBOOK AND INSTAGRAM,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia,MCMMIA_2021_COL_Kelloggs_Zucaritas_Seasonal_Pura Garra_Facebook_Facebook and Instagram_Reach_CPM_Family Breakfast,MCMMIA_2021_COL_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST,MCMMIA_2021_COL_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_FAMILYBREAKFAST
Google,Youtube,GOOGLE_YOUTUBE,Google Adwords,2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia,MCMMIA_2021_COL_Kelloggs_Zucaritas_Seasonal_Google_Youtube_Pura Garra_Affinity Audiences_CPV_Family Breakfast,MCMMIA_2021_COL_KELLOGGS_ZUCARITAS_SEASONAL_GOOGLE_YOUTUBE_PURAGARRA_AFFINITYAUDIENCES_CPV_FAMILYBREAKFAST,MCMMIA_2021_COL_KELLOGGS_ZUCARITAS_SEASONAL_GOOGLE_YOUTUBE_PURAGARRA_AFFINITYAUDIENCES_CPV_FAMILYBREAKFAST
Google,Youtube,GOOGLE_YOUTUBE,Google Adwords,2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia,MCMMIA_2021_COL_Kelloggs_Zucaritas_Seasonal_Google_Youtube_Pura Garra_Affinity Audiences_CPM_Family Breakfast,MCMMIA_2021_COL_KELLOGGS_ZUCARITAS_SEASONAL_GOOGLE_YOUTUBE_PURAGARRA_AFFINITYAUDIENCES_CPM_FAMILYBREAKFAST,MCMMIA_2021_COL_KELLOGGS_ZUCARITAS_SEASONAL_GOOGLE_YOUTUBE_PURAGARRA_AFFINITYAUDIENCES_CPM_FAMILYBREAKFAST
Google,Youtube,GOOGLE_YOUTUBE,Google Adwords,2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia,MCMMIA_2021_COL_Kelloggs_Corporate Promotions_Seasonal_Google_Youtube_Back to School_Affinity Audiences_CPM_Breakfast for One,MCMMIA_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_GOOGLE_YOUTUBE_BACKTOSCHOOL_AFFINITYAUDIENCES_CPM_BREAKFASTFORONE,MCMMIA_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_GOOGLE_YOUTUBE_BACKTOSCHOOL_AFFINITYAUDIENCES_CPM_BREAKFASTFORONE
Facebook,Facebook and Instagram,FACEBOOK_FACEBOOK AND INSTAGRAM,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia,MCMMIA_2021_COL_Kelloggs_Corporate Promotions_Seasonal_Back to School_Facebook_Facebook and Instagram_Website Clicks_CPC_Breakfast for One,MCMMIA_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_BREAKFASTFORONE,MCMMIA_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_BREAKFASTFORONE
Traditional Display Media,Kidscorp,TRADITIONAL DISPLAY MEDIA_KIDSCORP,Other Channels,2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia,MCMCO_2021_COL_Kelloggs_Corporate Promotions_Seasonal_Back to School_Sizmek_Breakfast for One_CPV-Kidscorp,MCMCO_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_BREAKFASTFORONE_CPV-KIDSCORP,MCMCO_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_BREAKFASTFORONE_CPV-KIDSCORP
Traditional Display Media,Audio,TRADITIONAL DISPLAY MEDIA_AUDIO,Other Channels,2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia,MCMCO_2021_COL_Kelloggs_Corporate Promotions_Seasonal_Back to School_Sizmek_Breakfast for One_CPM-Audio,MCMCO_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_BREAKFASTFORONE_CPM-AUDIO,MCMCO_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_BREAKFASTFORONE_CPM-AUDIO
Traditional Display Media,Xaxis - Standard Banners,TRADITIONAL DISPLAY MEDIA_XAXIS - STANDARD BANNERS,Sizmek Sas,2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia,MCMCO_2021_COL_Kelloggs_Corporate Promotions_Seasonal_Back to School_Sizmek_Breakfast for One_CPM-Xaxis - Standard Banners,MCMCO_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-STANDARDBANNERS,MCMCO_2021_COL_KELLOGGS_CORPORATEPROMOTIONS_SEASONAL_BACKTOSCHOOL_SIZMEK_BREAKFASTFORONE_CPM-XAXIS-STANDARDBANNERS
Facebook,Facebook and Instagram,FACEBOOK_FACEBOOK AND INSTAGRAM,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia,MCMMIA_2021_COL_Kelloggs_Zucaritas_Seasonal_Pura Garra_Facebook_Facebook and Instagram_Website Clicks_CPC_Family Breakfast,MCMMIA_2021_COL_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_FAMILYBREAKFAST,MCMMIA_2021_COL_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_FAMILYBREAKFAST
Traditional Display Media,Nickelodeon,TRADITIONAL DISPLAY MEDIA_NICKELODEON,Other Channels,2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia,MCMCO_2021_COL_Kelloggs_Zucaritas_Seasonal_Pura Garra_Sizmek_Family Breakfast_CPM-Nickelodeon,MCMCO_2021_COL_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPM-NICKELODEON,MCMCO_2021_COL_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPM-NICKELODEON
Traditional Display Media,Cartoon Network,TRADITIONAL DISPLAY MEDIA_CARTOON NETWORK,Other Channels,2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia,MCMCO_2021_COL_Kelloggs_Zucaritas_Seasonal_Pura Garra_Sizmek_Family Breakfast_CPM-Cartoon Network,MCMCO_2021_COL_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPM-CARTOONNETWORK,MCMCO_2021_COL_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPM-CARTOONNETWORK
Traditional Display Media,Xaxis - Standard Banners,TRADITIONAL DISPLAY MEDIA_XAXIS - STANDARD BANNERS,Sizmek Sas,2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia,MCMCO_2021_COL_Kelloggs_Zucaritas_Seasonal_Pura Garra_Sizmek_Family Breakfast_CPM-Xaxis - Standard Banners,MCMCO_2021_COL_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-STANDARDBANNERS,MCMCO_2021_COL_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPM-XAXIS-STANDARDBANNERS
Traditional Display Media,Xaxis - Video,TRADITIONAL DISPLAY MEDIA_XAXIS - VIDEO,Sizmek Sas,2021_ktbo_kube_Adverity_Mediaplan_Abril-Colombia,MCMCO_2021_COL_Kelloggs_Zucaritas_Seasonal_Pura Garra_Sizmek_Family Breakfast_CPV-Xaxis - Video,MCMCO_2021_COL_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO,MCMCO_2021_COL_KELLOGGS_ZUCARITAS_SEASONAL_PURAGARRA_SIZMEK_FAMILYBREAKFAST_CPV-XAXIS-VIDEO
